317,16.099167,56.233667
321,16.419667,56.100000
322,16.680167,56.069833
327,16.257333,56.373167
328,16.610667,56.368667
329,16.252000,56.479000
330,16.343500,56.543667
332,16.357500,56.627500
333,16.395000,56.679167
336,16.495833,56.764167
338,16.889500,56.819833
339,16.598500,56.873000
341,16.600000,56.928333
342,16.596667,56.998333
344,16.690667,57.057000
345,16.850500,57.070500
347,16.548833,57.125833
348,16.631167,57.148167
350,16.886667,57.195000
351,16.779667,57.253167
353,16.487500,57.266667
354,16.655833,57.273333
356,17.194500,57.295167
357,16.745833,57.329167
359,17.000000,57.329167
360,16.612500,57.349167
363,17.101833,57.375833
364,16.762333,57.416667
366,16.848333,57.472000
367,17.156000,57.480500
369,16.771667,57.511667
370,16.702167,57.543000
372,17.471167,57.549167
373,16.552500,57.575833
375,16.847500,57.592500
376,16.651667,57.598333
378,16.745000,57.600833
379,16.819167,57.647167
381,16.759167,57.661667
384,16.906000,57.685000
385,16.755833,57.714167
387,16.824833,57.746500
388,16.678333,57.756667
391,16.646667,57.801667
393,16.823333,57.840833
396,16.735667,57.868833
397,16.633333,57.880000
400,16.817500,57.943000
401,16.913333,58.006333
402,16.813833,58.006333
403,16.778333,58.103833
404,16.855333,58.083333
406,16.897000,58.125167
407,16.970000,58.135667
408,16.918833,58.169500
409,17.061667,58.211167
410,16.920167,58.271000
411,17.177000,58.229333
412,16.971167,58.312500
413,17.195000,58.291833
414,16.941667,58.401667
415,17.165500,58.378167
416,16.961167,58.479833
418,17.103333,58.444000
419,16.867667,58.192833
420,16.764833,58.420833
421,17.220333,58.471000
422,16.715333,58.137667
423,16.856333,58.258333
425,16.835000,58.318000
427,17.018333,58.274333
429,17.070000,58.324167
431,16.922833,58.341667
433,17.009333,58.401833
438,16.325000,58.636000
439,16.456167,58.654333
440,16.587833,58.635833
441,16.777500,58.605833
442,16.908500,58.559167
443,17.042500,58.553000
444,16.987500,58.620333
445,17.100000,58.629500
446,17.121333,58.656167
447,17.200500,58.674000
448,17.224500,58.700500
449,17.316167,58.720833
450,17.413667,58.751667
451,17.396667,58.786333
452,17.501500,58.767167
453,17.503667,58.856333
454,17.612500,58.795500
455,17.698333,58.786000
456,17.773667,58.784167
457,17.723167,58.830333
458,17.666667,58.865667
459,17.592333,58.870333
460,17.715167,58.906000
461,17.721500,58.964333
462,17.331167,58.531667
463,17.289000,58.607667
464,17.466833,58.594167
465,17.355500,58.662667
466,17.450167,58.708833
467,17.590833,58.729167
468,17.498000,58.638000
469,17.635667,58.640000
490,18.435667,56.987833
491,18.568833,57.114000
492,18.806333,57.275000
493,19.044333,57.451833
494,18.923333,57.681667
496,19.189667,57.802000
497,19.108333,57.823333
499,19.421667,57.959167
500,18.123667,56.889167
501,18.105667,57.115167
502,17.942500,57.290167
504,18.067500,57.492333
505,18.262667,57.631167
506,18.440000,57.830000
507,18.750000,57.933333
508,19.029167,57.933333
509,19.362667,58.098333
510,19.151667,58.371667
511,19.143333,58.590000
512,17.867000,58.673833
513,18.181667,58.860667
514,18.398333,58.913333
515,18.515000,58.930000
516,19.159667,58.935833
517,18.650167,59.044000
518,18.798833,59.037833
519,18.948333,59.140667
520,19.126167,59.155000
521,19.012833,59.251000
522,19.614833,59.415000
523,19.859667,59.659500
524,18.042333,58.953667
525,18.051333,59.018000
526,18.162167,59.040500
527,18.204333,59.080833
529,17.849000,58.778333
530,17.874500,58.731000
531,17.963667,58.790667
532,17.946000,58.823167
533,18.007000,58.857000
534,18.077000,58.909333
535,18.153500,58.948667
536,18.252333,59.007333
537,18.303667,59.071000
538,18.387167,59.109833
539,18.410000,59.205167
540,18.387667,59.268333
541,18.402833,58.999333
542,18.619667,59.115000
543,18.801000,59.162833
544,18.756833,59.203667
545,18.890167,59.295000
546,18.986333,59.349000
547,19.137500,59.347500
548,19.155333,59.446000
549,19.339333,59.526500
550,19.563167,59.706333
551,18.555000,59.155333
552,18.567333,59.206667
553,18.716000,59.277667
554,18.627667,59.242667
555,18.701000,59.301667
556,18.903167,59.412000
557,19.004000,59.459000
558,18.993333,59.498667
559,19.097333,59.510333
560,19.129333,59.597333
561,19.165667,59.661500
562,19.316500,59.758667
563,19.347333,59.429167
564,19.701333,59.490000
566,18.610333,59.394000
567,18.682667,59.439500
568,18.835000,59.426000
569,18.816000,59.508333
570,18.845833,59.577333
577,18.746000,59.371000
578,18.610833,59.372000
579,18.515833,59.423000
580,18.386833,59.444167
581,18.498833,59.473667
582,18.522000,59.522167
583,18.684667,59.578167
584,18.860333,59.635500
585,18.983667,59.679333
586,19.076000,59.712000
587,19.117167,59.772333
588,19.056667,59.777333
589,18.992000,59.843500
590,19.086000,59.838833
591,19.077167,59.892000
592,18.866667,60.038333
617,18.828000,60.175667
619,18.773333,60.110833
620,18.636667,60.145000
621,18.483167,60.171667
624,18.730167,60.223167
626,18.637500,60.237667
627,18.930000,60.275000
629,19.030167,60.307667
631,18.536333,60.304333
633,18.882500,60.357000
635,18.397833,60.368833
636,19.082167,60.428500
637,18.883833,60.431833
639,18.930833,60.467000
641,18.328833,60.464667
642,18.730000,60.546333
644,18.370167,60.551833
645,18.178000,60.558000
647,18.360000,60.628500
648,18.019500,60.642500
649,17.767500,60.606000
650,17.698833,60.646000
652,17.400333,60.656833
653,17.240667,60.695333
654,17.278333,60.711500
655,17.329000,60.699333
656,17.597667,60.706333
657,17.868333,60.702833
659,17.331167,60.736167
661,17.453833,60.782500
662,17.365667,60.806167
664,17.918667,60.878000
665,18.446500,60.910333
667,17.378667,60.923833
668,17.257833,60.957333
670,18.607000,60.968167
671,18.128500,60.977667
672,17.307500,60.997000
674,17.200833,61.020500
675,17.259000,61.042167
677,17.233333,61.093167
678,17.346667,61.113833
680,17.355500,61.168833
681,17.153500,61.202667
683,18.456500,61.248500
685,17.246667,61.265667
686,17.397000,61.276333
687,17.129833,61.298167
689,17.295667,61.328167
690,17.366167,61.353000
692,17.191667,61.390333
693,17.195333,61.469500
695,17.114500,61.541167
696,17.476833,61.542500
697,17.358833,61.546167
698,17.252500,61.567333
699,17.124000,61.579667
700,17.477667,61.600333
702,17.213667,61.624167
704,17.371667,61.649667
705,17.274000,61.664500
706,17.344167,61.704000
707,17.236833,61.710000
708,17.133500,61.716500
709,17.567333,61.719667
710,17.418000,61.728000
712,17.421833,61.815500
713,17.461333,61.888167
715,17.416667,61.984500
716,17.618333,62.012667
717,17.496000,62.035000
718,17.712000,62.044667
720,17.810667,62.112167
722,17.659833,62.179500
723,17.575000,62.165333
724,17.758333,62.225833
726,17.591500,62.301500
727,17.615500,62.365167
728,17.439167,62.339833
729,17.351167,62.391167
730,17.398333,62.432833
731,17.367833,62.485000
732,17.482000,62.502500
733,17.528167,62.399000
734,17.628167,62.416000
735,17.748833,62.379333
737,17.669000,62.465667
738,17.818167,62.476833
740,18.283333,62.492167
741,17.920333,62.554500
934,21.130667,62.275833
936,21.200833,61.484833
937,21.160000,61.149833
938,20.707667,60.779500
942,20.274833,60.207000
943,20.167167,60.358333
944,19.865667,60.554500
945,19.753333,60.446500
946,19.511667,60.351333
947,19.448833,60.210000
948,19.170667,60.186500
950,19.706667,60.083000
951,19.873333,60.030000
952,20.080167,59.976333
953,20.324833,60.053667
954,20.762500,60.079167
955,20.849167,59.933667
956,21.231667,59.931667
959,20.551167,59.708167
960,20.336167,59.856167
961,20.079000,59.846000
962,19.784167,59.808333
963,19.919833,59.589500
964,20.349167,59.502000
965,20.813667,59.474167
966,21.345000,59.746667
967,21.350000,59.857333
968,21.941333,59.872500
969,22.531667,59.914167
970,22.505333,59.723667
971,22.839167,59.816667
972,21.000000,59.250000
973,22.850833,59.226167
974,22.280667,59.208500
975,22.263833,59.086833
976,22.207000,59.050000
977,21.783333,58.905000
978,22.403500,58.689833
979,21.689000,58.580000
980,21.644167,58.383333
981,21.524500,58.306000
982,21.689333,57.782667
983,20.915167,57.716167
984,21.247833,57.708167
985,21.064500,57.691500
986,21.548000,57.662667
987,21.431833,57.475333
988,21.411167,57.438000
989,21.367833,57.300000